Afghanistan,af,"""Afghanistan"",","""af"","
Australia,au,"""Australia"",","""au"","
Bahamas,bs,"""Bahamas"",","""bs"","
Bulgaria,bg,"""Bulgaria"",","""bg"","
Belgium,be,"""Belgium"",","""be"","
Cambodia,kh,"""Cambodia"",","""kh"","
Canada,ca,"""Canada"",","""ca"","
China,cn,"""China"",","""cn"","
Costa Rica,cr,"""Costa Rica"",","""cr"","
Czech-Republic,cz,"""Czech-Republic"",","""cz"","
Denmark,dk,"""Denmark"",","""dk"","
France,fr,"""France"",","""fr"","
Germany,de,"""Germany"",","""de"","
Italy,it,"""Italy"",","""it"","
India,in,"""India"",","""in"","
Japan,jp,"""Japan"",","""jp"","
Korea,kr,"""Korea"",","""kr"","
Liechtenstein,li,"""Liechtenstein"",","""li"","
Malaysia,my,"""Malaysia"",","""my"","
Norway,no,"""Norway"",","""no"","
Vietnam,vn,"""Vietnam"",","""vn"","
Thailand,th,"""Thailand"",","""th"","
Singapore,sg,"""Singapore"",","""sg"","
